User_ID,Age,Gender,Height_cm,Weight_kg,Steps,Calories_Burned,Workout_Type,Workout_Duration_Minutes,Heart_Rate,Sleep_Hours,Water_Intake_Liters,Date
1592,22,Female,163,45,3811,616,Cardio,38,71,6.5,,2023-01-06 23:00:00
1391,51,F,142,82,4421,671,cardio,61,133,3.2,1.1,
1674,33,Female,169,53,10290,374,,119,96,6.3,2.2,2023-01-07 01:00:00
1418,18,Female,145,61,3721,624,Strength,84,151,9.3,2.9,2023-01-07 02:00:00
1288,43,,197,96,11892,767,,115,129,8.2,1.6,2023-01-07 03:00:00
1378,21,F,141,62,,607,Yoga,55,74,9.6,2.8,2023-01-07 04:00:00
1772,59,,153,107,1788,789,HIIT,10,140,4.6,2.5,2023-01-07 05:00:00
1489,59,male,180,,17640,362,,72,116,6.7,2,2023-01-07 06:00:00
,36,,157,48,5025,630,Cardio,25,194,5.2,3.6,2023-01-07 07:00:00
1040,43,,190,96,7741,329,Strength,34,89,6.5,,2023-01-07 08:00:00
1027,55,Female,183,53,4654,687,Yoga,71,79,6.9,1.8,2023-01-07 09:00:00
1134,16,,170,108,14580,676,HIIT,,108,3.3,,2023-01-07 10:00:00
1200,51,male,152,74,8660,171,Strength,91,77,4.6,3.1,2023-01-07 11:00:00
1839,36,,165,52,4251,,HIIT,89,96,7.9,3.3,2023-01-07 12:00:00
1779,58,Male,183,49,6268,726,Strength,92,166,8.4,2.7,2023-01-07 13:00:00
1929,50,Male,151,107,12781,170,cardio,25,132,7,1.8,2023-01-07 14:00:00
1032,28,male,157,45,14489,557,cardio,78,106,4.9,1.7,2023-01-07 15:00:00
1047,25,,,59,16131,636,cardio,100,178,5.8,2.8,
1502,59,,188,82,8562,677,Yoga,117,78,3.7,1,2023-01-07 17:00:00
1406,25,Female,160,86,16987,565,cardio,79,113,9.7,3.4,
1573,28,Male,187,90,15391,421,Yoga,43,148,9.1,1.8,2023-01-07 19:00:00
1727,52,Female,188,97,3152,354,Cardio,89,86,3.5,2.7,
1804,53,Male,192,70,9738,447,cardio,,177,4.2,2.2,2023-01-07 21:00:00
1098,39,male,195,105,8888,702,Yoga,32,184,7.1,2.3,2023-01-07 22:00:00
1683,17,,179,98,11096,,Strength,52,139,4.6,3.1,2023-01-07 23:00:00
,37,,182,66,6474,786,Yoga,53,136,9.5,2.7,2023-01-08 00:00:00
1725,32,male,163,70,1488,301,,41,113,8.3,1.4,2023-01-08 01:00:00
1986,51,Female,173,104,19206,162,Yoga,116,67,4.9,0.8,2023-01-08 02:00:00
1546,29,Female,147,83,6622,228,,32,78,3,3.4,2023-01-08 03:00:00
1960,25,F,183,80,4774,703,Strength,29,163,8.6,3.6,2023-01-08 04:00:00
1738,50,Male,192,65,7446,318,Yoga,28,109,6,1.1,2023-01-08 05:00:00
1612,40,Female,172,85,9572,,Strength,102,103,7.5,1.6,2023-01-08 06:00:00
1942,18,male,162,92,,270,,81,121,5,1.5,2023-01-08 07:00:00
,53,Female,152,70,11258,536,HIIT,38,198,4,3.8,2023-01-08 08:00:00
1642,32,,193,107,,588,cardio,27,198,7.7,1.2,2023-01-08 09:00:00
1768,27,Male,192,80,5887,421,,78,107,6.2,1.1,2023-01-08 10:00:00
1004,39,F,188,68,17605,449,Cardio,21,85,4.6,1.1,2023-01-08 11:00:00
1217,44,Male,153,65,16684,622,Yoga,19,194,4,3.1,2023-01-08 12:00:00
1502,58,,153,62,1617,307,,,129,7.1,3.6,2023-01-08 13:00:00
1766,40,,155,59,14636,782,cardio,90,64,8.1,1.9,2023-01-08 14:00:00
1397,51,,188,50,3570,376,Yoga,105,89,5,1,2023-01-08 15:00:00
1870,41,,177,87,7309,570,cardio,64,130,8.1,2.6,2023-01-08 16:00:00
1794,53,male,197,75,3790,173,HIIT,13,100,4.3,1.2,2023-01-08 17:00:00
1392,16,F,199,72,8826,687,Yoga,104,190,5.4,,2023-01-08 18:00:00
1206,35,,178,52,13134,719,Strength,72,250,8.2,3.6,2023-01-08 19:00:00
1014,43,,165,73,5054,787,HIIT,99,192,7.6,3.5,2023-01-08 20:00:00
1857,31,,165,65,17090,689,Yoga,21,166,4.9,3.9,
1553,32,F,140,102,8681,277,cardio,27,182,3.9,2.2,2023-01-08 22:00:00
1891,55,Male,171,104,16569,243,HIIT,17,,3.3,1.5,2023-01-08 23:00:00
1460,43,F,196,94,7508,570,Strength,41,164,8.9,3.2,2023-01-09 00:00:00
,27,F,154,75,17608,421,Yoga,93,127,3.5,1.1,2023-01-09 01:00:00
1574,42,F,191,91,11433,633,cardio,58,142,3.8,1.4,2023-01-09 02:00:00
1863,57,,160,78,13344,154,cardio,113,126,4.7,1.4,2023-01-09 03:00:00
1742,45,,157,46,12888,306,,72,109,6.1,3.8,2023-01-09 04:00:00
1240,56,male,169,,4827,201,,86,145,8.5,3.1,2023-01-09 05:00:00
1563,49,Male,199,51,18787,392,Yoga,68,147,4.7,1,2023-01-09 06:00:00
1095,52,,197,63,17257,569,,96,105,6.8,0.8,2023-01-09 07:00:00
1899,,F,152,59,17793,574,cardio,76,167,3.6,3.4,2023-01-09 08:00:00
1733,22,Male,163,,2916,,HIIT,108,168,,3.3,2023-01-09 09:00:00
1484,47,Male,169,58,3859,503,Cardio,,87,4.2,2.8,2023-01-09 10:00:00
1406,47,male,141,47,8072,768,cardio,59,151,4.5,1.2,
1230,40,Female,158,94,16523,,HIIT,94,100,5.6,2.2,2023-01-09 12:00:00
1748,48,F,186,98,3051,265,Cardio,80,176,8.3,2.6,2023-01-09 13:00:00
1654,22,Female,,50,,,HIIT,35,152,8.2,3.8,2023-01-09 14:00:00
1170,27,male,186,93,3968,629,cardio,32,178,5.9,1.1,2023-01-09 15:00:00
1540,31,,164,67,9936,437,Cardio,105,134,3.8,2.3,2023-01-09 16:00:00
1035,31,Male,189,64,1601,626,HIIT,72,152,5,1.1,2023-01-09 17:00:00
1524,58,F,153,104,16451,,Yoga,75,67,6.5,2.1,2023-01-09 18:00:00
1159,51,,145,89,14257,580,Cardio,48,76,9.1,1.2,2023-01-09 19:00:00
1838,28,male,151,105,6274,427,HIIT,75,141,9.8,3.4,2023-01-09 20:00:00
1698,22,Female,159,100,,466,Yoga,112,121,7.5,1.4,2023-01-09 21:00:00
1242,51,Male,162,46,11866,787,Cardio,55,144,5.5,2,2023-01-09 22:00:00
1085,24,F,169,89,13368,507,HIIT,24,125,7.9,1.9,2023-01-09 23:00:00
1795,47,,169,84,9674,425,cardio,25,55,5.4,3.5,2023-01-10 00:00:00
1577,26,,177,68,16462,493,Cardio,99,139,7.4,,2023-01-10 01:00:00
1681,23,Male,197,73,12503,580,,81,129,4.7,0.7,2023-01-10 02:00:00
1556,48,Female,169,98,16624,708,Yoga,25,132,4.9,0.7,2023-01-10 03:00:00
1573,38,male,180,97,15370,712,,94,131,3.5,2.4,2023-01-10 04:00:00
1952,,Female,169,93,6368,588,,48,94,5.9,2,2023-01-10 05:00:00
1645,23,Female,196,76,13567,611,HIIT,20,120,7.3,1.5,2023-01-10 06:00:00
1795,37,Female,197,105,4825,419,cardio,97,56,8.5,3.3,2023-01-10 07:00:00
1027,19,Male,175,86,11391,580,Yoga,,193,8.7,1,2023-01-10 08:00:00
1619,55,Male,188,45,10874,170,Cardio,27,175,9.9,3.9,2023-01-10 09:00:00
1555,18,male,173,107,4608,292,,32,107,3.6,,2023-01-10 10:00:00
1339,44,Female,155,79,7878,502,Yoga,,106,6.5,0.9,2023-01-10 11:00:00
1797,56,Male,163,95,2018,614,Yoga,58,160,6.6,1.6,2023-01-10 12:00:00
1957,44,male,153,89,18695,617,Yoga,117,191,8.6,2.3,2023-01-10 13:00:00
1330,49,,165,109,10610,662,,51,105,4.9,1.3,2023-01-10 14:00:00
1639,49,Female,147,58,3500,613,Strength,112,61,3.5,3.1,2023-01-10 15:00:00
1505,43,F,153,47,3667,543,Yoga,117,142,5.2,1.8,2023-01-10 16:00:00
1347,28,Female,170,68,10578,207,Strength,53,64,9.9,0.6,2023-01-10 17:00:00
1472,30,F,141,,6230,275,,118,,9.3,3.6,2023-01-10 18:00:00
1230,38,male,187,92,11255,610,cardio,10,102,5.8,3.8,2023-01-10 19:00:00
1189,59,Male,143,54,5834,201,,16,186,9.1,2.7,2023-01-10 20:00:00
1224,41,,140,57,2546,418,cardio,57,141,3.2,3.3,2023-01-10 21:00:00
,19,male,194,58,16050,245,cardio,,56,5.2,0.9,2023-01-10 22:00:00
1376,41,Male,159,54,16049,422,,25,93,8.1,1.4,2023-01-10 23:00:00
1282,55,male,198,84,19529,472,HIIT,57,63,4.6,1.6,2023-01-11 00:00:00
,24,Female,153,67,19547,722,Cardio,87,124,4.4,3.9,2023-01-11 01:00:00
1632,20,F,179,99,16640,282,Strength,52,164,,2.3,2023-01-11 02:00:00
1627,47,male,164,107,,238,HIIT,60,141,7.3,0.5,2023-01-11 03:00:00
1972,35,Male,199,86,4423,154,Strength,116,183,9.9,1.8,2023-01-11 04:00:00
1744,,Female,164,91,3332,506,Cardio,75,122,3.9,0.5,2023-01-11 05:00:00
1258,30,,142,96,7066,492,Yoga,,179,5.5,1.3,2023-01-11 06:00:00
1358,47,Female,144,62,19040,353,,48,80,5.2,2.1,2023-01-11 07:00:00
1709,43,F,177,62,7038,,,18,,9.2,1.6,2023-01-11 08:00:00
1455,37,Female,193,68,9583,620,Cardio,50,168,4.8,0.6,2023-01-11 09:00:00
1410,,,165,67,6289,613,,72,76,5.5,0.9,2023-01-11 10:00:00
1648,32,Male,,56,1296,646,HIIT,23,159,4,2.4,2023-01-11 11:00:00
1317,41,male,177,67,18470,,,67,155,8.4,2.9,2023-01-11 12:00:00
1676,59,,177,65,6194,705,HIIT,83,169,4.7,1.9,2023-01-11 13:00:00
1224,,,143,108,6805,388,Yoga,97,131,3.5,3.1,2023-01-11 14:00:00
1818,57,F,146,78,13797,689,Yoga,106,101,6,1.1,2023-01-11 15:00:00
1233,41,Female,169,46,17879,347,Strength,,63,5.7,0.9,2023-01-11 16:00:00
1683,40,F,169,75,3995,179,HIIT,93,69,4.2,3.4,2023-01-11 17:00:00
1663,25,,195,63,17477,358,cardio,73,167,3.9,1.7,2023-01-11 18:00:00
1974,34,male,158,57,13912,212,Yoga,37,101,9.3,2,2023-01-11 19:00:00
1826,26,male,178,109,7393,206,Strength,13,150,3.5,3.8,2023-01-11 20:00:00
1373,28,F,174,50,1720,582,cardio,43,89,3.7,2,2023-01-11 21:00:00
1671,23,Male,179,71,7325,457,cardio,13,117,4.7,0.5,2023-01-11 22:00:00
1607,55,F,172,96,13554,724,cardio,79,93,9.7,3.8,2023-01-11 23:00:00
1471,19,Female,172,92,6099,615,Cardio,67,183,3.6,0.5,2023-01-12 00:00:00
1232,46,male,153,88,13568,754,Yoga,95,136,8.7,2.8,2023-01-12 01:00:00
1691,43,male,177,61,,256,Cardio,13,169,9.2,1.6,
1112,26,male,149,82,13247,749,,59,106,5.6,2.1,2023-01-12 03:00:00
1829,58,Male,196,54,6057,450,Yoga,14,121,5.1,2.4,2023-01-12 04:00:00
1496,,Male,,98,18490,769,HIIT,84,101,7.7,1.9,2023-01-12 05:00:00
1441,,,153,50,6305,195,,54,60,7.9,3.2,2023-01-12 06:00:00
1563,39,F,175,50,12914,226,Strength,44,250,8.5,3.8,2023-01-12 07:00:00
1267,46,F,177,96,7674,318,,,180,8.8,0.8,2023-01-12 08:00:00
1509,56,Female,155,59,10563,278,,84,192,4.9,3.3,
,41,male,199,101,16316,417,,84,179,7.8,1,2023-01-12 10:00:00
1385,20,,160,100,17217,749,,36,51,3.9,0.8,2023-01-12 11:00:00
1386,35,Female,167,51,3005,734,Yoga,11,143,6.6,3.8,2023-01-12 12:00:00
1112,56,Female,172,95,13741,568,,63,176,,2.2,2023-01-12 13:00:00
1612,26,Male,145,102,15602,310,Strength,81,175,4.1,1,2023-01-12 14:00:00
1624,48,F,180,108,13603,207,HIIT,107,90,3.5,2.5,2023-01-12 15:00:00
1951,53,male,154,70,14987,533,Yoga,113,79,4.4,1.4,2023-01-12 16:00:00
1080,42,F,183,102,18147,659,,93,93,,,2023-01-12 17:00:00
1698,49,Female,142,75,14543,579,cardio,96,59,9.2,2.7,2023-01-12 18:00:00
1112,30,male,182,57,10144,489,Yoga,88,79,6.7,3.5,2023-01-12 19:00:00
1001,47,,186,62,12114,727,HIIT,57,124,8.2,0.5,2023-01-12 20:00:00
1641,36,Female,174,57,6691,175,,86,98,4.2,1.2,2023-01-12 21:00:00
1219,20,F,153,68,8059,738,Cardio,104,194,3.7,0.8,2023-01-12 22:00:00
1565,21,F,141,,5479,,Yoga,58,119,4.7,,2023-01-12 23:00:00
1854,53,F,168,73,5198,185,cardio,119,75,5.2,3.8,2023-01-13 00:00:00
1996,37,Male,143,,10091,680,Yoga,87,149,6.8,3.8,2023-01-13 01:00:00
1735,33,Female,165,98,16068,416,Cardio,10,182,9.2,3.1,2023-01-13 02:00:00
1224,29,male,190,49,5205,581,Yoga,100,160,6,2.8,2023-01-13 03:00:00
1384,25,F,151,79,4641,168,cardio,42,63,6.6,3.5,2023-01-13 04:00:00
1402,28,F,141,63,4543,488,HIIT,44,100,3,0.7,2023-01-13 05:00:00
,46,Male,156,,16424,289,cardio,63,64,3.2,0.9,2023-01-13 06:00:00
1129,45,male,,88,6591,216,HIIT,65,177,3.6,1.6,2023-01-13 07:00:00
1052,18,Female,149,82,12833,679,cardio,24,189,7.9,3.4,2023-01-13 08:00:00
1683,45,,187,106,7116,518,,,95,6.4,2.2,2023-01-13 09:00:00
1729,21,Male,,66,1761,410,Yoga,110,121,4.4,2.3,2023-01-13 10:00:00
1671,44,Female,180,84,3407,773,Yoga,13,144,7.1,1.3,2023-01-13 11:00:00
1709,23,,182,70,1885,776,Cardio,119,78,6.8,2.8,2023-01-13 12:00:00
1415,59,F,160,49,3643,728,Strength,93,181,3.6,3.6,2023-01-13 13:00:00
1246,58,F,154,98,12125,731,Cardio,73,74,7.5,1.7,2023-01-13 14:00:00
1835,59,male,174,93,2468,352,Yoga,,81,8.4,2.7,2023-01-13 15:00:00
1438,48,,187,47,,,Cardio,31,149,5,1.7,2023-01-13 16:00:00
1202,32,F,,82,8015,559,HIIT,33,86,7.8,,2023-01-13 17:00:00
1183,,F,160,58,7323,229,Strength,56,175,4.4,2.2,2023-01-13 18:00:00
1122,28,male,160,91,9935,262,cardio,84,187,8.3,1.7,2023-01-13 19:00:00
1400,26,Female,199,58,3428,772,,119,149,9.4,2,2023-01-13 20:00:00
1766,46,F,183,82,12685,286,,15,76,6.1,0.8,2023-01-13 21:00:00
1293,43,,,108,13738,794,cardio,36,184,4.7,3.5,2023-01-13 22:00:00
1279,59,Male,194,88,10308,338,Cardio,19,148,5.8,3.9,2023-01-13 23:00:00
1836,21,Female,144,109,16879,,Yoga,48,186,4.8,2.2,2023-01-14 00:00:00
1883,56,,178,69,16772,252,HIIT,83,85,3,1.3,2023-01-14 01:00:00
1609,31,male,148,60,11633,256,Strength,119,167,7.6,2.8,2023-01-14 02:00:00
1197,19,,192,59,18738,724,cardio,99,68,3.3,2.1,2023-01-14 03:00:00
1981,50,Male,157,47,19864,322,,46,104,4.5,1.4,2023-01-14 04:00:00
1906,41,Female,160,81,12193,480,HIIT,63,133,8.1,0.6,2023-01-14 05:00:00
